,band,beak depth (mm),beak length (mm),species,year
715,15387,8.9,10.9,fortis,1987
716,5721,8.9,11.1,fortis,1987
717,14808,8.9,11.6,fortis,1987
718,15223,8.9,11.6,fortis,1987
719,15795,8.9,11.8,fortis,1987
720,15274,8.91,10.44,fortis,1987
721,14664,8.91,10.54,fortis,1987
722,15854,8.91,10.64,fortis,1987
723,15941,8.91,10.74,fortis,1987
724,14258,8.91,10.76,fortis,1987
725,15852,8.91,10.79,fortis,1987
726,15132,8.91,10.84,fortis,1987
727,15659,8.91,11.04,fortis,1987
728,15431,8.91,11.29,fortis,1987
729,15378,8.91,11.84,fortis,1987
730,14749,8.92,10.04,fortis,1987
731,14533,8.92,11.1,fortis,1987
732,15348,8.92,11.2,fortis,1987
733,14636,8.93,10.76,fortis,1987
734,14671,8.93,10.76,fortis,1987
735,13575,8.93,11.0,fortis,1987
736,14685,8.93,11.46,fortis,1987
737,2639,8.95,10.3,fortis,1987
738,14478,8.95,10.9,fortis,1987
739,14681,8.96,9.94,fortis,1987
740,15630,8.96,10.24,fortis,1987
741,15229,8.96,10.99,fortis,1987
742,15337,8.97,10.47,fortis,1987
743,15332,8.97,10.7,fortis,1987
744,5330,8.97,12.21,fortis,1987
745,14403,8.98,10.35,fortis,1987
746,15232,8.98,10.52,fortis,1987
747,5554,9.0,10.0,fortis,1987
748,15054,9.0,10.3,fortis,1987
749,15157,9.0,10.6,fortis,1987
750,15488,9.0,10.75,fortis,1987
751,15241,9.0,10.8,fortis,1987
752,14915,9.0,11.0,fortis,1987
753,14788,9.0,12.0,fortis,1987
754,14846,9.01,10.04,fortis,1987
755,15631,9.01,10.24,fortis,1987
756,15715,9.01,10.24,fortis,1987
757,15496,9.01,10.34,fortis,1987
758,15758,9.01,10.34,fortis,1987
759,15791,9.01,10.64,fortis,1987
760,15311,9.01,11.24,fortis,1987
761,15684,9.01,11.54,fortis,1987
762,15785,9.01,11.54,fortis,1987
763,15465,9.02,10.74,fortis,1987
764,14712,9.02,11.04,fortis,1987
765,15230,9.03,10.1,fortis,1987
766,15318,9.03,10.76,fortis,1987
767,14356,9.04,10.04,fortis,1987
768,5389,9.04,10.27,fortis,1987
769,10232,9.04,10.87,fortis,1987
770,4936,9.05,10.0,fortis,1987
771,5587,9.05,10.35,fortis,1987
772,14741,9.06,11.04,fortis,1987
773,13486,9.07,9.98,fortis,1987
774,13579,9.07,10.03,fortis,1987
775,15822,9.07,10.49,fortis,1987
776,15412,9.07,10.5,fortis,1987
777,15153,9.07,10.57,fortis,1987
778,15055,9.07,10.8,fortis,1987
779,14669,9.07,11.34,fortis,1987
780,15863,9.07,11.69,fortis,1987
781,10102,9.08,10.98,fortis,1987
782,14883,9.08,11.51,fortis,1987
783,13522,9.09,9.66,fortis,1987
784,10685,9.09,10.46,fortis,1987
785,14872,9.1,9.7,fortis,1987
786,15333,9.1,10.5,fortis,1987
787,14765,9.1,10.6,fortis,1987
788,15389,9.1,10.83,fortis,1987
789,13932,9.1,10.9,fortis,1987
790,13365,9.1,11.3,fortis,1987
791,15066,9.1,11.4,fortis,1987
792,14723,9.1,12.0,fortis,1987
793,14659,9.11,10.24,fortis,1987
794,16111,9.11,10.24,fortis,1987
795,15011,9.11,10.34,fortis,1987
796,15047,9.11,10.35,fortis,1987
797,15781,9.11,10.89,fortis,1987
798,14826,9.11,10.9,fortis,1987
799,15499,9.11,11.04,fortis,1987
800,15065,9.11,11.09,fortis,1987
801,15832,9.11,11.14,fortis,1987
802,15934,9.11,11.14,fortis,1987
803,14784,9.11,11.34,fortis,1987
804,15611,9.11,11.34,fortis,1987
805,15325,9.11,11.54,fortis,1987
806,14672,9.12,10.54,fortis,1987
807,14347,9.12,10.63,fortis,1987
808,15105,9.12,10.85,fortis,1987
809,15233,9.12,10.85,fortis,1987
810,14838,9.12,10.95,fortis,1987
811,15359,9.12,11.04,fortis,1987
812,5828,9.12,11.25,fortis,1987
813,14824,9.12,11.25,fortis,1987
814,15048,9.13,10.46,fortis,1987
815,15321,9.13,11.96,fortis,1987
816,5817,9.14,10.49,fortis,1987
817,13690,9.14,10.73,fortis,1987
818,5507,9.14,11.07,fortis,1987
819,5858,9.15,10.45,fortis,1987
820,16089,9.15,10.65,fortis,1987
821,5718,9.15,10.71,fortis,1987
822,15408,9.15,11.2,fortis,1987
823,14692,9.15,11.25,fortis,1987
824,15027,9.17,10.37,fortis,1987
825,14518,9.17,10.72,fortis,1987
826,13389,9.19,12.22,fortis,1987
827,14871,9.2,9.5,fortis,1987
828,14041,9.2,10.0,fortis,1987
829,15126,9.2,10.2,fortis,1987
830,15369,9.2,10.4,fortis,1987
831,5826,9.2,10.55,fortis,1987
832,14100,9.2,10.6,fortis,1987
833,15125,9.2,10.6,fortis,1987
834,5927,9.2,10.7,fortis,1987
835,10213,9.2,10.7,fortis,1987
836,14062,9.2,10.7,fortis,1987
837,14879,9.2,10.7,fortis,1987
838,14854,9.2,10.75,fortis,1987
839,15056,9.2,10.8,fortis,1987
840,14652,9.2,10.9,fortis,1987
841,15450,9.2,10.9,fortis,1987
842,15601,9.2,10.9,fortis,1987
843,10023,9.2,11.0,fortis,1987
844,14921,9.2,11.3,fortis,1987
845,15926,9.2,11.9,fortis,1987
846,15151,9.21,10.24,fortis,1987
847,15263,9.21,10.39,fortis,1987
848,2833,9.21,10.63,fortis,1987
849,15707,9.21,10.84,fortis,1987
850,15454,9.21,11.14,fortis,1987
851,15409,9.21,11.24,fortis,1987
852,15985,9.21,11.24,fortis,1987
853,15215,9.21,11.34,fortis,1987
854,15261,9.21,11.34,fortis,1987
855,15903,9.21,12.14,fortis,1987
856,5725,9.22,11.03,fortis,1987
857,15772,9.22,11.04,fortis,1987
858,14605,9.22,11.2,fortis,1987
859,14696,9.23,11.06,fortis,1987
860,14701,9.23,11.16,fortis,1987
861,2737,9.24,10.21,fortis,1987
862,14124,9.24,10.97,fortis,1987
863,13708,9.24,11.83,fortis,1987
864,14732,9.25,10.9,fortis,1987
865,15710,9.25,11.0,fortis,1987
866,15727,9.25,11.0,fortis,1987
867,14679,9.27,10.5,fortis,1987
868,15396,9.27,10.63,fortis,1987
869,14956,9.27,10.85,fortis,1987
870,15373,9.27,11.45,fortis,1987
871,14901,9.3,10.1,fortis,1987
872,15247,9.3,10.3,fortis,1987
873,2738,9.3,10.4,fortis,1987
874,14279,9.3,10.5,fortis,1987
875,15399,9.3,10.6,fortis,1987
876,15130,9.3,10.9,fortis,1987
877,15174,9.3,10.9,fortis,1987
878,10183,9.3,11.0,fortis,1987
879,14471,9.3,11.0,fortis,1987
880,15289,9.3,11.15,fortis,1987
881,15428,9.3,11.15,fortis,1987
882,2537,9.3,11.3,fortis,1987
883,2666,9.3,12.81,fortis,1987
884,14896,9.31,10.09,fortis,1987
885,15971,9.31,10.84,fortis,1987
886,15189,9.31,10.94,fortis,1987
887,15500,9.31,11.04,fortis,1987
888,15820,9.31,11.04,fortis,1987
889,15474,9.31,11.14,fortis,1987
890,15938,9.31,11.14,fortis,1987
891,15987,9.31,11.14,fortis,1987
892,15463,9.31,11.24,fortis,1987
893,15746,9.31,11.24,fortis,1987
894,15801,9.31,11.24,fortis,1987
895,15739,9.31,11.34,fortis,1987
896,14643,9.32,10.95,fortis,1987
897,15310,9.33,10.66,fortis,1987
898,14770,9.33,10.96,fortis,1987
899,14792,9.33,10.96,fortis,1987
900,15191,9.33,11.56,fortis,1987
901,14744,9.35,10.4,fortis,1987
902,15950,9.35,10.6,fortis,1987
903,15788,9.35,10.75,fortis,1987
904,15376,9.35,10.9,fortis,1987
905,10716,9.37,10.73,fortis,1987
906,15155,9.37,11.2,fortis,1987
907,14874,9.4,9.9,fortis,1987
908,15326,9.4,10.0,fortis,1987
909,14629,9.4,10.2,fortis,1987
910,15238,9.4,10.4,fortis,1987
911,14705,9.4,10.5,fortis,1987
912,15838,9.4,11.1,fortis,1987
913,10826,9.4,11.2,fortis,1987
914,14171,9.4,11.3,fortis,1987
915,15346,9.4,11.8,fortis,1987
916,15426,9.41,10.34,fortis,1987
917,15633,9.41,11.24,fortis,1987
918,15709,9.41,11.44,fortis,1987
919,15904,9.41,11.54,fortis,1987
920,15323,9.41,12.04,fortis,1987
921,15152,9.42,10.94,fortis,1987
922,15605,9.42,11.1,fortis,1987
923,14546,9.42,11.67,fortis,1987
924,14923,9.42,13.57,fortis,1987
925,15129,9.43,10.61,fortis,1987
926,15165,9.43,10.66,fortis,1987
927,14641,9.43,10.96,fortis,1987
928,14794,9.43,10.96,fortis,1987
929,13409,9.43,11.21,fortis,1987
930,15110,9.43,11.55,fortis,1987
931,14884,9.43,11.96,fortis,1987
932,10330,9.44,10.67,fortis,1987
933,2658,9.44,10.8,fortis,1987
934,13552,9.44,11.3,fortis,1987
935,15482,9.45,10.8,fortis,1987
936,14900,9.45,11.0,fortis,1987
937,5635,9.45,11.51,fortis,1987
938,15929,9.45,11.6,fortis,1987
939,13704,9.47,10.67,fortis,1987
940,14766,9.47,10.77,fortis,1987
941,14940,9.47,11.3,fortis,1987
942,15308,9.47,11.55,fortis,1987
943,14823,9.47,11.6,fortis,1987
944,14722,9.47,12.15,fortis,1987
945,15613,9.5,10.4,fortis,1987
946,13644,9.5,10.5,fortis,1987
947,15360,9.5,10.5,fortis,1987
948,15939,9.5,10.5,fortis,1987
949,16168,9.5,10.5,fortis,1987
950,15395,9.5,10.8,fortis,1987
951,15885,9.5,10.8,fortis,1987
952,10081,9.5,10.9,fortis,1987
953,15648,9.5,10.9,fortis,1987
954,15734,9.5,10.9,fortis,1987
955,15398,9.5,11.0,fortis,1987
956,10670,9.5,11.1,fortis,1987
957,15041,9.5,11.1,fortis,1987
958,2862,9.5,11.15,fortis,1987
959,14675,9.5,11.2,fortis,1987
960,14687,9.5,11.5,fortis,1987
961,14957,9.5,11.8,fortis,1987
962,15447,9.5,12.9,fortis,1987
963,15042,9.51,11.04,fortis,1987
964,15028,9.51,11.14,fortis,1987
965,15642,9.51,11.14,fortis,1987
966,15329,9.51,11.24,fortis,1987
967,15660,9.51,11.24,fortis,1987
968,15714,9.51,11.24,fortis,1987
969,15767,9.51,11.64,fortis,1987
970,15316,9.51,11.84,fortis,1987
971,14948,9.52,10.7,fortis,1987
972,14621,9.52,11.2,fortis,1987
973,14720,9.52,12.0,fortis,1987
974,14937,9.53,11.36,fortis,1987
975,15131,9.53,11.86,fortis,1987
976,15616,9.53,12.16,fortis,1987
977,15840,9.55,10.85,fortis,1987
978,14893,9.55,11.0,fortis,1987
979,14958,9.56,11.29,fortis,1987
980,14676,9.57,11.0,fortis,1987
981,14839,9.57,11.94,fortis,1987
982,15370,9.57,12.25,fortis,1987
983,5335,9.59,11.96,fortis,1987
984,10751,9.6,10.0,fortis,1987
985,14713,9.6,10.4,fortis,1987
986,14615,9.6,10.7,fortis,1987
987,14825,9.6,10.7,fortis,1987
988,14040,9.6,10.8,fortis,1987
989,16117,9.6,10.8,fortis,1987
990,13075,9.6,10.85,fortis,1987
991,15339,9.6,10.9,fortis,1987
992,2847,9.6,11.0,fortis,1987
993,14916,9.6,11.1,fortis,1987
994,15390,9.6,11.15,fortis,1987
995,4843,9.6,11.17,fortis,1987
996,14492,9.6,11.2,fortis,1987
997,5560,9.6,11.3,fortis,1987
998,14678,9.6,11.5,fortis,1987
999,14866,9.6,11.7,fortis,1987
1000,15612,9.6,11.9,fortis,1987
1001,15158,9.6,12.1,fortis,1987
1002,14793,9.61,9.14,fortis,1987
1003,10194,9.61,11.02,fortis,1987
1004,15949,9.61,11.04,fortis,1987
1005,15475,9.61,11.24,fortis,1987
1006,15722,9.61,11.24,fortis,1987
1007,15210,9.61,11.44,fortis,1987
1008,15839,9.61,11.44,fortis,1987
1009,15908,9.61,11.44,fortis,1987
1010,15049,9.61,11.54,fortis,1987
1011,15764,9.61,11.54,fortis,1987
1012,15667,9.62,10.84,fortis,1987
1013,15004,9.63,10.5,fortis,1987
1014,15293,9.63,10.86,fortis,1987
1015,14774,9.63,11.06,fortis,1987
1016,14842,9.63,11.15,fortis,1987
1017,15969,9.63,11.26,fortis,1987
1018,14790,9.63,11.36,fortis,1987
1019,14887,9.63,12.16,fortis,1987
1020,14677,9.65,11.6,fortis,1987
1021,14710,9.65,11.65,fortis,1987
1022,4378,9.66,10.64,fortis,1987
1023,5586,9.67,10.2,fortis,1987
1024,15197,9.67,11.04,fortis,1987
1025,10550,9.69,11.88,fortis,1987
1026,14917,9.7,10.3,fortis,1987
1027,14816,9.7,10.7,fortis,1987
1028,4899,9.7,10.87,fortis,1987
1029,4911,9.7,11.0,fortis,1987
1030,15196,9.7,11.0,fortis,1987
1031,15607,9.7,11.0,fortis,1987
1032,16173,9.7,11.13,fortis,1987
1033,14751,9.7,11.2,fortis,1987
1034,15113,9.7,11.2,fortis,1987
1035,14688,9.7,11.3,fortis,1987
1036,13807,9.7,11.4,fortis,1987
1037,15001,9.7,11.4,fortis,1987
1038,15239,9.71,11.04,fortis,1987
1039,15212,9.71,11.14,fortis,1987
1040,15753,9.71,11.14,fortis,1987
1041,10228,9.71,11.24,fortis,1987
1042,15644,9.71,11.24,fortis,1987
1043,14609,9.71,11.29,fortis,1987
1044,15655,9.72,10.34,fortis,1987
1045,14617,9.72,11.14,fortis,1987
1046,13837,9.72,11.58,fortis,1987
1047,15172,9.72,11.84,fortis,1987
1048,14670,9.72,12.44,fortis,1987
1049,14736,9.73,10.96,fortis,1987
1050,15012,9.73,11.46,fortis,1987
1051,14807,9.73,11.67,fortis,1987
1052,13945,9.74,10.43,fortis,1987
1053,14412,9.74,10.73,fortis,1987
1054,3569,9.74,10.94,fortis,1987
1055,15857,9.76,11.94,fortis,1987
1056,15478,9.77,11.1,fortis,1987
1057,15930,9.77,12.05,fortis,1987
1058,14739,9.78,10.81,fortis,1987
1059,14633,9.78,11.29,fortis,1987
1060,14674,9.8,10.5,fortis,1987
1061,13201,9.8,10.7,fortis,1987
1062,5026,9.8,10.9,fortis,1987
1063,15193,9.8,10.9,fortis,1987
1064,14746,9.8,11.0,fortis,1987
1065,14963,9.8,11.0,fortis,1987
1066,14971,9.8,11.0,fortis,1987
1067,15385,9.8,11.1,fortis,1987
1068,15015,9.8,11.2,fortis,1987
1069,5505,9.8,11.4,fortis,1987
1070,15621,9.8,11.6,fortis,1987
1071,14987,9.8,11.7,fortis,1987
1072,14820,9.8,11.8,fortis,1987
1073,14889,9.8,11.8,fortis,1987
1074,5504,9.8,11.9,fortis,1987
1075,15302,9.8,12.3,fortis,1987
1076,14942,9.81,11.19,fortis,1987
1077,14856,9.81,11.24,fortis,1987
1078,14849,9.81,11.34,fortis,1987
1079,15203,9.81,11.49,fortis,1987
1080,15670,9.81,11.64,fortis,1987
1081,15371,9.81,11.74,fortis,1987
1082,15856,9.81,11.74,fortis,1987
1083,15377,9.82,10.94,fortis,1987
1084,15979,9.82,11.04,fortis,1987
1085,14796,9.82,11.15,fortis,1987
1086,15145,9.82,11.3,fortis,1987
1087,15058,9.83,10.96,fortis,1987
1088,15692,9.83,11.16,fortis,1987
1089,15033,9.83,11.26,fortis,1987
1090,15255,9.83,12.1,fortis,1987
1091,14620,9.85,10.7,fortis,1987
1092,13781,9.85,12.3,fortis,1987
1093,5625,9.86,10.94,fortis,1987
1094,14783,9.86,11.39,fortis,1987
1095,15053,9.86,12.01,fortis,1987
1096,15150,9.87,10.94,fortis,1987
1097,5921,9.87,11.2,fortis,1987
1098,15358,9.87,11.34,fortis,1987
1099,15383,9.87,11.7,fortis,1987
1100,14886,9.88,11.86,fortis,1987
1101,5570,9.9,10.8,fortis,1987
1102,13975,9.9,11.0,fortis,1987
1103,14930,9.9,11.2,fortis,1987
1104,15433,9.9,11.3,fortis,1987
1105,5400,9.9,11.5,fortis,1987
1106,15473,9.9,11.5,fortis,1987
1107,15124,9.9,11.7,fortis,1987
1108,5614,9.9,11.8,fortis,1987
1109,10305,9.9,11.82,fortis,1987
1110,15148,9.9,11.9,fortis,1987
1111,15849,9.9,12.0,fortis,1987
1112,15665,9.91,11.14,fortis,1987
1113,14955,9.91,11.74,fortis,1987
1114,14721,9.91,11.84,fortis,1987
1115,15682,9.91,12.24,fortis,1987
1116,4721,9.92,10.95,fortis,1987
1117,14660,9.92,11.14,fortis,1987
1118,15355,9.92,11.84,fortis,1987
1119,15653,9.92,11.84,fortis,1987
1120,14711,9.92,12.05,fortis,1987
1121,15281,9.92,12.17,fortis,1987
1122,4190,9.93,11.04,fortis,1987
1123,15650,9.93,11.06,fortis,1987
1124,15112,9.93,11.16,fortis,1987
1125,14974,9.93,11.46,fortis,1987
1126,10080,9.95,11.1,fortis,1987
1127,14943,9.95,11.85,fortis,1987
1128,13760,9.96,10.67,fortis,1987
1129,14689,9.96,11.2,fortis,1987
1130,14117,10.0,10.6,fortis,1987
1131,15674,10.0,10.6,fortis,1987
1132,10679,10.0,10.9,fortis,1987
1133,5963,10.0,11.0,fortis,1987
1134,14818,10.0,11.0,fortis,1987
1135,15749,10.0,11.0,fortis,1987
1136,14781,10.0,11.1,fortis,1987
1137,13231,10.0,11.13,fortis,1987
1138,14174,10.0,11.2,fortis,1987
1139,2776,10.0,11.3,fortis,1987
1140,15140,10.0,11.3,fortis,1987
1141,14745,10.0,11.5,fortis,1987
1142,15951,10.0,11.5,fortis,1987
1143,15291,10.0,11.7,fortis,1987
1144,14752,10.0,11.9,fortis,1987
1145,14772,10.0,12.0,fortis,1987
1146,15603,10.0,12.8,fortis,1987
1147,15062,10.01,11.44,fortis,1987
1148,15003,10.01,11.94,fortis,1987
1149,14961,10.02,11.84,fortis,1987
1150,14346,10.02,11.93,fortis,1987
1151,15073,10.03,10.66,fortis,1987
1152,5860,10.05,11.55,fortis,1987
1153,15681,10.06,12.29,fortis,1987
1154,14817,10.07,11.5,fortis,1987
1155,14618,10.08,11.16,fortis,1987
1156,13300,10.09,11.06,fortis,1987
1157,15183,10.1,11.2,fortis,1987
1158,13413,10.1,11.3,fortis,1987
1159,15897,10.1,11.6,fortis,1987
1160,15249,10.1,11.7,fortis,1987
1161,15199,10.11,11.34,fortis,1987
1162,15920,10.11,11.44,fortis,1987
1163,15099,10.11,11.49,fortis,1987
1164,14865,10.11,11.74,fortis,1987
1165,14333,10.12,11.03,fortis,1987
1166,5789,10.12,11.28,fortis,1987
1167,15309,10.12,11.45,fortis,1987
1168,15317,10.12,11.84,fortis,1987
1169,14895,10.13,10.96,fortis,1987
1170,14738,10.13,11.26,fortis,1987
1171,14926,10.13,12.66,fortis,1987
1172,15448,10.13,13.96,fortis,1987
1173,14812,10.15,11.05,fortis,1987
1174,5960,10.15,11.4,fortis,1987
1175,15461,10.16,11.44,fortis,1987
1176,4677,10.17,11.02,fortis,1987
1177,13595,10.17,11.4,fortis,1987
1178,14656,10.17,11.9,fortis,1987
1179,14657,10.2,10.25,fortis,1987
1180,14992,10.2,11.0,fortis,1987
1181,14777,10.2,11.6,fortis,1987
1182,15304,10.2,12.3,fortis,1987
1183,14619,10.21,11.54,fortis,1987
1184,14753,10.21,11.54,fortis,1987
1185,14650,10.21,11.74,fortis,1987
1186,15315,10.21,11.74,fortis,1987
1187,14627,10.23,10.86,fortis,1987
1188,15295,10.23,11.96,fortis,1987
1189,10658,10.27,11.15,fortis,1987
1190,4946,10.27,11.42,fortis,1987
1191,14655,10.29,11.33,fortis,1987
1192,5731,10.3,10.8,fortis,1987
1193,5559,10.3,11.0,fortis,1987
1194,15338,10.3,11.1,fortis,1987
1195,10622,10.3,11.3,fortis,1987
1196,2984,10.3,11.4,fortis,1987
1197,14851,10.3,11.4,fortis,1987
1198,5060,10.3,11.8,fortis,1987
1199,14003,10.32,11.8,fortis,1987
1200,5844,10.32,11.83,fortis,1987
1201,14805,10.33,11.06,fortis,1987
1202,3527,10.33,11.79,fortis,1987
1203,14919,10.33,11.87,fortis,1987
1204,15830,10.33,12.27,fortis,1987
1205,14468,10.34,11.83,fortis,1987
1206,5847,10.34,11.93,fortis,1987
1207,2753,10.35,10.89,fortis,1987
1208,15471,10.35,11.6,fortis,1987
1209,15609,10.35,11.8,fortis,1987
1210,15444,10.35,12.85,fortis,1987
1211,15025,10.37,11.29,fortis,1987
1212,14873,10.4,11.6,fortis,1987
1213,15101,10.4,11.7,fortis,1987
1214,15458,10.4,11.9,fortis,1987
1215,15037,10.4,12.0,fortis,1987
1216,15171,10.4,12.0,fortis,1987
1217,14925,10.4,12.75,fortis,1987
1218,15411,10.41,12.24,fortis,1987
1219,14616,10.42,11.65,fortis,1987
1220,14922,10.43,11.76,fortis,1987
1221,5905,10.43,11.86,fortis,1987
1222,4993,10.45,11.44,fortis,1987
1223,14662,10.5,11.0,fortis,1987
1224,5904,10.5,11.1,fortis,1987
1225,10181,10.5,11.1,fortis,1987
1226,15702,10.5,11.7,fortis,1987
1227,5543,10.5,11.8,fortis,1987
1228,720,10.5,12.2,fortis,1987
1229,15413,10.51,11.54,fortis,1987
1230,15392,10.51,11.64,fortis,1987
1231,15947,10.51,11.94,fortis,1987
1232,15955,10.51,12.34,fortis,1987
1233,15021,10.52,11.0,fortis,1987
1234,14625,10.52,11.84,fortis,1987
1235,14651,10.52,11.84,fortis,1987
1236,14848,10.53,11.36,fortis,1987
1237,15147,10.53,11.46,fortis,1987
1238,15980,10.53,11.56,fortis,1987
1239,4876,10.55,10.34,fortis,1987
1240,1469,10.56,11.73,fortis,1987
1241,15372,10.57,12.25,fortis,1987
1242,5649,10.59,11.55,fortis,1987
1243,3393,10.6,11.7,fortis,1987
1244,15216,10.6,11.9,fortis,1987
1245,15688,10.61,11.54,fortis,1987
1246,5821,10.62,12.32,fortis,1987
1247,14870,10.67,11.95,fortis,1987
1248,13407,10.68,11.27,fortis,1987
1249,14993,10.7,12.3,fortis,1987
1250,14663,10.72,11.65,fortis,1987
1251,14991,10.72,12.4,fortis,1987
1252,15170,10.72,12.84,fortis,1987
1253,14804,10.73,11.76,fortis,1987
1254,1774,10.75,11.9,fortis,1987
1255,14149,10.8,10.9,fortis,1987
1256,14622,10.8,11.0,fortis,1987
1257,15948,10.8,11.6,fortis,1987
1258,2536,10.84,11.44,fortis,1987
1259,14624,10.85,11.85,fortis,1987
1260,2743,10.85,12.1,fortis,1987
1261,5370,10.88,12.73,fortis,1987
1262,14706,10.9,11.5,fortis,1987
1263,15825,10.9,11.8,fortis,1987
1264,10178,11.0,11.7,fortis,1987
1265,15910,11.0,11.85,fortis,1987
1266,15976,11.0,12.2,fortis,1987
1267,14550,11.02,13.65,fortis,1987
1268,13487,11.07,11.78,fortis,1987
1269,14649,11.1,11.7,fortis,1987
1270,4986,11.17,11.87,fortis,1987
1271,15651,11.2,12.8,fortis,1987
1272,15954,11.21,12.04,fortis,1987
1273,15905,11.38,11.46,fortis,1987
1274,14442,11.38,11.53,fortis,1987
1275,14408,11.49,11.23,fortis,1987
1276,15877,11.53,12.26,fortis,1987
1277,5110,12.37,14.07,fortis,1987
1278,3597,12.7,13.03,fortis,1987
1279,15718,7.77,10.75,scandens,1987
1280,5594,7.94,13.73,scandens,1987
1281,15235,7.96,14.04,scandens,1987
1282,15252,8.0,12.5,scandens,1987
1283,15847,8.01,12.64,scandens,1987
1284,15139,8.23,12.66,scandens,1987
1285,15237,8.3,13.0,scandens,1987
1286,4045,8.36,13.15,scandens,1987
1287,8443,8.37,13.96,scandens,1987
1288,15798,8.4,13.15,scandens,1987
1289,14786,8.4,13.7,scandens,1987
1290,364,8.4,14.0,scandens,1987
1291,10001,8.41,13.43,scandens,1987
1292,15119,8.5,14.0,scandens,1987
1293,15676,8.5,14.9,scandens,1987
1294,15476,8.6,13.6,scandens,1987
1295,14576,8.6,13.8,scandens,1987
1296,15419,8.6,14.9,scandens,1987
1297,15635,8.61,13.94,scandens,1987
1298,2733,8.67,14.81,scandens,1987
1299,15751,8.7,12.5,scandens,1987
1300,14834,8.7,13.75,scandens,1987
1301,4109,8.7,14.0,scandens,1987
1302,15901,8.7,14.5,scandens,1987
1303,14830,8.7,14.7,scandens,1987
1304,15086,8.72,14.05,scandens,1987
1305,15986,8.72,14.17,scandens,1987
1306,4223,8.77,15.07,scandens,1987
1307,15725,8.8,11.5,scandens,1987
1308,13554,8.8,13.5,scandens,1987
1309,15407,8.8,13.87,scandens,1987
1310,3425,8.8,14.9,scandens,1987
1311,15704,8.81,12.34,scandens,1987
1312,15102,8.81,14.34,scandens,1987
1313,5582,8.87,15.07,scandens,1987
1314,15121,8.88,14.01,scandens,1987
1315,10770,8.89,12.86,scandens,1987
1316,14755,8.9,13.6,scandens,1987
1317,13555,8.9,13.8,scandens,1987
1318,15765,8.9,13.85,scandens,1987
1319,15243,8.9,13.9,scandens,1987
1320,8441,8.9,14.1,scandens,1987
1321,10067,8.9,14.1,scandens,1987
1322,15406,8.9,14.2,scandens,1987
1323,15234,8.9,14.3,scandens,1987
1324,15608,8.9,14.9,scandens,1987
1325,14758,8.91,13.84,scandens,1987
1326,14835,8.91,14.09,scandens,1987
1327,15882,8.92,14.05,scandens,1987
1328,14787,8.93,14.15,scandens,1987
1329,14727,8.93,14.25,scandens,1987
1330,5351,8.95,13.6,scandens,1987
1331,15859,8.95,14.57,scandens,1987
1332,15721,8.96,11.89,scandens,1987
1333,5663,8.97,13.8,scandens,1987
1334,2543,8.97,14.21,scandens,1987
1335,5013,8.99,14.76,scandens,1987
1336,10394,9.0,12.07,scandens,1987
1337,17548,9.0,13.9,scandens,1987
1338,14647,9.0,14.1,scandens,1987
1339,13548,9.0,14.3,scandens,1987
1340,5345,9.0,14.95,scandens,1987
1341,15760,9.01,14.34,scandens,1987
1342,15685,9.02,13.84,scandens,1987
1343,14731,9.02,14.04,scandens,1987
1344,14906,9.02,14.14,scandens,1987
1345,15330,9.03,12.56,scandens,1987
1346,4577,9.04,15.14,scandens,1987
1347,4744,9.05,14.35,scandens,1987
1348,10984,9.05,14.85,scandens,1987
1349,14759,9.06,14.04,scandens,1987
1350,15639,9.1,14.2,scandens,1987
1351,15090,9.1,14.3,scandens,1987
1352,4221,9.1,14.5,scandens,1987
1353,15422,9.1,14.5,scandens,1987
1354,15441,9.1,14.6,scandens,1987
1355,15736,9.1,15.0,scandens,1987
1356,4683,9.13,13.6,scandens,1987
1357,14768,9.13,14.65,scandens,1987
1358,5375,9.14,14.03,scandens,1987
1359,14843,9.18,14.16,scandens,1987
1360,2554,9.2,13.83,scandens,1987
1361,14995,9.2,14.2,scandens,1987
1362,15638,9.2,14.35,scandens,1987
1363,15837,9.2,14.45,scandens,1987
1364,10002,9.21,14.64,scandens,1987
1365,14584,9.21,15.04,scandens,1987
1366,14730,9.22,13.9,scandens,1987
1367,3458,9.24,14.34,scandens,1987
1368,5911,9.24,14.53,scandens,1987
1369,2760,9.25,14.2,scandens,1987
1370,15812,9.25,14.85,scandens,1987
1371,5367,9.25,15.1,scandens,1987
1372,10174,9.25,15.2,scandens,1987
1373,1645,9.26,13.5,scandens,1987
1374,4090,9.26,14.95,scandens,1987
1375,5576,9.28,13.83,scandens,1987
1376,14975,9.28,13.95,scandens,1987
1377,2877,9.28,15.09,scandens,1987
1378,10206,9.3,13.43,scandens,1987
1379,4778,9.3,13.7,scandens,1987
1380,5322,9.3,14.0,scandens,1987
1381,10207,9.3,14.15,scandens,1987
1382,10740,9.3,14.75,scandens,1987
1383,8450,9.3,14.9,scandens,1987
1384,10517,9.3,15.0,scandens,1987
1385,2758,9.32,13.56,scandens,1987
1386,14729,9.33,14.26,scandens,1987
1387,10743,9.34,13.83,scandens,1987
1388,13527,9.34,14.53,scandens,1987
1389,8444,9.34,14.84,scandens,1987
1390,15738,9.35,15.0,scandens,1987
1391,2445,9.37,13.76,scandens,1987
1392,5931,9.37,13.9,scandens,1987
1393,14728,9.37,14.29,scandens,1987
